posx,posy,posz,tick,turn
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,1
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,2
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,3
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,4
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,5
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,6
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,7
42.1581,0.7511,161.52568,,
42.1581,0.7511,161.52568,1,8
42.856697,0.75110006,161.48192,,
42.856697,0.75110006,161.48192,1,9
43.555294,0.75110006,161.43816,,
43.555294,0.75110006,161.43816,1,10
44.453487,0.75110006,161.38188,,
44.453487,0.75110006,161.38188,1,11
45.35168,0.75110006,161.3256,,
45.35168,0.75110006,161.3256,1,12
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,13
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,14
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,15
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,16
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,17
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,18
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,19
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,20
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,21
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,22
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,23
46.050667,0.7511,161.29434,,
46.050667,0.7511,161.29434,1,24
46.050667,0.7511,161.29434,,
46.050667,0.7511,161.29434,1,25
46.293518,0.75110006,161.95084,,
46.293518,0.75110006,161.95084,1,26
46.60575,0.7511,162.79489,,
46.60575,0.7511,162.79489,1,27
46.70983,0.7511,163.07625,,
46.70983,0.7511,163.07625,1,28
46.70983,0.7511,163.07625,,
46.70983,0.7511,163.07625,1,29
47.011047,0.75110006,163.4753,,
47.011047,0.75110006,163.4753,1,30
47.673725,0.75110006,164.35321,,
47.673725,0.75110006,164.35321,1,31
47.89891,0.7511,164.7996,,
47.89891,0.7511,164.7996,1,32
47.89891,0.7511,164.7996,,
47.89891,0.7511,164.7996,1,33
47.89891,0.7511,164.7996,,
47.89891,0.7511,164.7996,1,34
47.89891,0.7511,164.7996,,
47.89891,0.7511,164.7996,1,35
47.89891,0.7511,164.7996,,
47.89891,0.7511,164.7996,1,36
47.89891,0.7511,164.7996,,
47.89891,0.7511,164.7996,1,37
47.89891,0.7511,164.7996,,
47.89891,0.7511,164.7996,1,38
47.89891,0.7511,164.7996,,
47.89891,0.7511,164.7996,1,39
47.89891,0.7511,164.7996,,
47.89891,0.7511,164.7996,1,40
47.89891,0.7511,164.7996,,
47.89891,0.7511,164.7996,1,41
48.0989,0.7511,164.7996,,
48.0989,0.7511,164.7996,1,42
48.0989,0.7511,164.7996,,
48.0989,0.7511,164.7996,1,43
48.677258,0.7511,164.9592,,
48.677258,0.7511,164.9592,1,44
48.966434,0.7511,165.03899,,
48.966434,0.7511,165.03899,1,45
49.07994,0.7511,164.59686,,
49.07994,0.7511,164.59686,1,46
49.07994,0.7511,164.59686,,
49.07994,0.7511,164.59686,1,47
49.07994,0.7511,164.59686,,
49.07994,0.7511,164.59686,1,48
49.07994,0.7511,164.59686,,
49.07994,0.7511,164.59686,1,49
49.07994,0.7511,164.59686,,
49.07994,0.7511,164.59686,1,50
49.07994,0.7511,164.59686,,
49.07994,0.7511,164.59686,1,51
49.07994,0.7511,164.59686,,
49.07994,0.7511,164.59686,1,52
49.07994,0.7511,164.59686,,
49.07994,0.7511,164.59686,1,53
49.07994,0.7511,164.39688,,
49.07994,0.7511,164.39688,1,54
49.07994,0.7511,164.39688,,
49.07994,0.7511,164.39688,1,55
49.089695,0.75109994,164.86906,,
49.089695,0.75109994,164.86906,1,56
48.50359,0.7511,164.74081,,
48.50359,0.7511,164.74081,1,57
48.112858,0.7511,164.65532,,
48.112858,0.7511,164.65532,1,58
48.112858,0.7511,164.65532,,
48.112858,0.7511,164.65532,1,59
48.112858,0.7511,164.65532,,
48.112858,0.7511,164.65532,1,60
48.112858,0.7511,164.65532,,
48.112858,0.7511,164.65532,1,61
48.112858,0.7511,164.65532,,
48.112858,0.7511,164.65532,1,62
48.112858,0.7511,164.65532,,
48.112858,0.7511,164.65532,1,63
48.112858,0.7511,164.65532,,
48.112858,0.7511,164.65532,1,64
48.112858,0.7511,164.65532,,
48.112858,0.7511,164.65532,1,65
48.112858,0.7511,164.65532,,
